url,text,class
https://www.neubaukompass.de/neubau/villa-wuerttemberg-berlin/,"Provisionsfrei Wurttembergallee 4, 14052 Berlin Westend Wohntyp Eigentumswohnung Sanierung Preis 379.000 EUR - 759.000 EUR Zimmeranzahl 2 - 3 Zimmer Wohnflache 46 m2 - 85 m2 Bezugsfertig Ab sofort Einheiten 16 Kategorie Gehoben ",complete
https://www.neubaukompass.de/neubau/sophienpark-berlin/,"Freienwalder Strasse 19A, 13359 Berlin Wedding Wohntyp Eigentumswohnung Preis ab 219.000 EUR Zimmeranzahl 1 - 4 Zimmer Wohnflache 37 m2 - 154 m2 Bezugsfertig Q42022 Einheiten 21 Kategorie Gehoben ",on_sale
https://www.neubaukompass.de/neubau/oxo-apartments-berlin/,"Kopenicker Strasse 103, 10179 Berlin Mitte Wohntyp Eigentumswohnung Preis 233.700 EUR - 845.950 EUR Zimmeranzahl 1 - 5 Zimmer Wohnflache 32 m2 - 118 m2 Bezugsfertig Auf Anfrage Einheiten 44 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/,"Johannisstrasse 14 - 19, 10117 Berlin Mitte Wohntyp Apartment Eigentumswohnung Penthouse Preis 980.000 EUR - 2.345.000 EUR Zimmeranzahl 2 - 5 Zimmer Wohnflache 66,50 m2 - 182 m2 Bezugsfertig Q2 2023 Einheiten 46 Kategorie Luxus ",
https://www.neubaukompass.de/neubau/pohlestrasse-berlin/,"30% verkauft Besichtigung Beurkundung Videoberatung Pohlestrasse 9, 12557 Berlin Kopenick Wohntyp Eigentumswohnung Preis ab 181.937 EUR Zimmeranzahl 2 - 4 Zimmer Wohnflache 37 m2 - 104 m2 Bezugsfertig Ende 2021 Einheiten 16 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/wilhelmsaue-berlin/,"Wilhelmsaue 32, Berlin Wilmersdorf Wohntyp Eigentumswohnung Preis 265.000 EUR - 1.239.000 EUR Zimmeranzahl 1 - 4 Zimmer Wohnflache 36 m2 - 145 m2 Bezugsfertig Herbst 2020 Einheiten 64 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/mommsen-und-wieland-berlin/,"Mommsenstrasse, Berlin Charlottenburg Wohntyp Eigentumswohnung Preis 1.295.000 EUR - 2.550.000 EUR Zimmeranzahl 4 - 6 und mehr Zimmer Wohnflache 120 m2 - 255 m2 Bezugsfertig Sofort bezugsfrei Einheiten 9 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/immergruen-berlin/,"KfW 55 Provisionsfrei Talstrasse 4, 13189 Berlin Pankow Wohntyp Eigentumswohnung Preis 299.500 EUR - 1.099.000 EUR Zimmeranzahl 1 - 4 Zimmer Wohnflache 43,51 m2 - 148,65 m2 Bezugsfertig vsl. Ende 2020 Einheiten 132 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/living-spree-2-berlin/,"Letzte Einheit! An der Wuhlheide 216, 12459 Berlin Kopenick Wohntyp Eigentumswohnung Preis 699.000 EUR Zimmeranzahl 4 Zimmer Wohnflache 132,68 m2 Bezugsfertig Auf Anfrage Einheiten 1 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/bellevuestrasse-petershagen/,"KfW 55 Bellevuestrasse, 15370 Petershagen Wohntyp Doppelhaushalfte Haus Preis Auf Anfrage Zimmeranzahl 5 Zimmer Wohnflache 139,36 m2 Bezugsfertig Auf Anfrage Einheiten 8 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/die-neue-111-berlin/,"Schulzendorfer Strasse 111, 12526 Berlin Bohnsdorf Wohntyp Eigentumswohnung Mikroapartment Preis 138.700 EUR - 322.510 EUR Zimmeranzahl 1 - 2 Zimmer Wohnflache 23 m2 - 46 m2 Bezugsfertig 28.02.2022 Einheiten 25 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/spreewohnen-fuerstenwalde/,"Am Spreepark 1-5, 15517 Furstenwalde Wohntyp Eigentumswohnung Preis Auf Anfrage Zimmeranzahl 2 - 4 Zimmer Wohnflache 54 m2 - 173 m2 Bezugsfertig vsl. 2021 Einheiten 34 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/bredereckstrasse-18a-berlin/,"KfW 55 Bredereckstrasse 18A, 12621 Berlin Kaulsdorf Wohntyp Eigentumswohnung Preis 222.000 EUR - 556.500 EUR Zimmeranzahl 2 - 4 Zimmer Wohnflache 48,82 m2 - 112,65 m2 Bezugsfertig Marz 2022 Einheiten 11 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/waldowstrasse-9-berlin/,"Waldowstrasse 9, 13156 Berlin Pankow Wohntyp Eigentumswohnung Einfamilienhaus Penthouse Townhouses Haus Preis 570.000 EUR - 1.128.446 EUR Zimmeranzahl 3 - 4, 6 und mehr Zimmer Wohnflache 83 m2 - 199 m2 Bezugsfertig vsl. Ende 2020 Einheiten 5 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/dahme5-berlin/,"Dahmestrasse 5, 12527 Berlin Grunau Wohntyp Eigentumswohnung Preis ab 273.000 EUR Zimmeranzahl 1 - 4 Zimmer Wohnflache 51,40 m2 - 126,60 m2 Bezugsfertig 2022 Einheiten 36 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/machnower-chaussee-zossen/,"Machnower Chaussee 4, 15806 Zossen Dabendorf Wohntyp Doppelhaushalfte Haus Preis 495.000 EUR Zimmeranzahl 5 Zimmer Wohnflache 146,03 m2 Bezugsfertig Auf Anfrage Einheiten 2 Kategorie Gehoben ",
https://www.neubaukompass.de/neubau/utopia-berlin/,"Bezugsfertig Provisionsfrei Besichtigung Beurkundung Videoberatung Virtueller Rundgang Eisenacher StrasseLuitpoldstrasse, 10781 Berlin Schoneberg Wohntyp Eigentumswohnung Kapitalanlage Penthouse Erdgeschosswohnung Preis 250.000 EUR - 466.440 EUR Zimmeranzahl 2 Zimmer Wohnflache 36 m2 - 59 m2 Bezugsfertig Bezugsfrei Einheiten 5 Kategorie Gehoben ",
